sample	tool	rank	L1_total_variation_pctpts	BrayCurtis_pct	Precision_%	Recall_%	F1_%	TP	FP	FN
cami_ii_strainmadness	hymet	class	8.9909	8.9909	100.00	100.00	100.00	3	0	0
cami_ii_strainmadness	hymet	order	8.9909	8.9909	100.00	100.00	100.00	3	0	0
cami_ii_strainmadness	hymet	family	8.9909	8.9909	100.00	100.00	100.00	4	0	0
cami_ii_strainmadness	hymet	genus	11.6838	11.6838	90.00	90.00	90.00	9	1	1
cami_ii_strainmadness	hymet	species	25.3688	25.3688	47.62	90.91	62.50	10	11	1
cami_ii_strainmadness	hymet_reads	superkingdom	66.2544	44.2171	40.00	100.00	57.14	2	3	0
cami_ii_strainmadness	hymet_reads	phylum	16.4488	16.4488	50.00	100.00	66.67	2	2	0
cami_ii_strainmadness	hymet_reads	class	41.7782	41.7782	60.00	100.00	75.00	3	2	0
cami_ii_strainmadness	hymet_reads	order	42.3781	42.3781	60.00	100.00	75.00	3	2	0
cami_ii_strainmadness	hymet_reads	family	43.2779	43.2779	36.36	100.00	53.33	4	7	0
cami_ii_strainmadness	hymet_reads	genus	58.8813	58.8813	20.00	50.00	28.57	5	20	5
cami_ii_strainmadness	hymet_reads	species	70.0089	70.0089	9.09	27.27	13.64	3	30	8
cami_ii_strainmadness	kraken2	superkingdom	45.7108	77.1047	50.00	100.00	66.67	2	2	0
cami_ii_strainmadness	kraken2	phylum	43.2133	76.0977	100.00	100.00	100.00	2	0	0
cami_ii_strainmadness	kraken2	class	43.2133	76.0977	100.00	100.00	100.00	3	0	0
cami_ii_strainmadness	kraken2	order	43.2133	76.0977	100.00	100.00	100.00	3	0	0
cami_ii_strainmadness	kraken2	family	43.2188	76.1000	100.00	100.00	100.00	4	0	0
cami_ii_strainmadness	kraken2	genus	43.3280	76.3097	100.00	50.00	66.67	5	0	5
cami_ii_strainmadness	kraken2	species	43.5371	76.6706	100.00	54.55	70.59	6	0	5
cami_ii_strainmadness	squeezemeta	superkingdom	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_ii_strainmadness	squeezemeta	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_ii_strainmadness	squeezemeta	class	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_ii_strainmadness	squeezemeta	order	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_ii_strainmadness	squeezemeta	family	50.0000	100.0000	0.00	0.00	0.00	0	0	4
cami_ii_strainmadness	squeezemeta	genus	50.0000	100.0000	0.00	0.00	0.00	0	0	10
cami_ii_strainmadness	squeezemeta	species	50.0001	100.0000	0.00	0.00	0.00	0	0	11
cami_sample_0	ganon2	superkingdom	46.9306	88.3656	100.00	100.00	100.00	1	0	0
cami_sample_0	ganon2	phylum	50.4879	95.0639	66.67	66.67	66.67	2	1	1
cami_sample_0	ganon2	class	50.5067	95.0993	66.67	40.00	50.00	2	1	3
cami_sample_0	ganon2	order	51.9661	97.8473	66.67	33.33	44.44	2	1	4
cami_sample_0	ganon2	family	52.3973	98.6590	66.67	20.00	30.77	2	1	8
cami_sample_0	ganon2	genus	51.6026	98.6386	66.67	16.67	26.67	2	1	10
cami_sample_0	ganon2	species	52.5140	98.8787	33.33	4.76	8.33	1	2	20
cami_sample_0	hymet	superkingdom	0.0372	0.0372	100.00	100.00	100.00	1	0	0
cami_sample_0	hymet	phylum	19.6820	19.6820	75.00	100.00	85.71	3	1	0
cami_sample_0	hymet	class	69.1885	69.1885	83.33	100.00	90.91	5	1	0
cami_sample_0	hymet	order	70.4459	70.4460	66.67	100.00	80.00	6	3	0
cami_sample_0	hymet	family	71.3456	71.3456	47.06	80.00	59.26	8	9	2
cami_sample_0	hymet	genus	90.3513	91.0751	30.00	75.00	42.86	9	21	3
cami_sample_0	hymet	species	94.5968	94.5972	26.09	57.14	35.82	12	34	9
cami_sample_0	hymet_reads	superkingdom	0.5221	0.5218	33.33	100.00	50.00	1	2	0
cami_sample_0	hymet_reads	phylum	2.8480	2.8480	50.00	66.67	57.14	2	2	1
