sample	tool	rank	L1_total_variation_pctpts	BrayCurtis_pct	Precision_%	Recall_%	F1_%	TP	FP	FN
cami_ii_strainmadness	metaphlan4	species	50.0001	100.0000	0.00	0.00	0.00	0	0	11
cami_ii_strainmadness	sourmash_gather	superkingdom	19.4037	19.4037	100.00	50.00	66.67	1	0	1
cami_ii_strainmadness	sourmash_gather	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_ii_strainmadness	sourmash_gather	class	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_ii_strainmadness	sourmash_gather	order	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_ii_strainmadness	sourmash_gather	family	50.0000	100.0000	0.00	0.00	0.00	0	0	4
cami_ii_strainmadness	sourmash_gather	genus	50.0000	100.0000	0.00	0.00	0.00	0	0	10
cami_ii_strainmadness	sourmash_gather	species	100.0001	100.0000	0.00	0.00	0.00	0	1	11
cami_sample_0	centrifuge	superkingdom	100.0000	100.0000	0.00	0.00	0.00	0	1	1
cami_sample_0	centrifuge	phylum	92.1647	92.1647	40.00	66.67	50.00	2	3	1
cami_sample_0	centrifuge	class	92.1835	92.1835	40.00	40.00	40.00	2	3	3
cami_sample_0	centrifuge	order	98.8566	98.8567	40.00	33.33	36.36	2	3	4
cami_sample_0	centrifuge	family	99.2878	99.2878	40.00	20.00	26.67	2	3	8
cami_sample_0	centrifuge	genus	98.4930	99.2821	40.00	16.67	23.53	2	3	10
cami_sample_0	centrifuge	species	99.4040	99.4045	20.00	4.76	7.69	1	4	20
cami_sample_0	ganon2	superkingdom	46.9306	88.3656	100.00	100.00	100.00	1	0	0
cami_sample_0	ganon2	phylum	50.4879	95.0639	66.67	66.67	66.67	2	1	1
cami_sample_0	ganon2	class	50.5067	95.0993	66.67	40.00	50.00	2	1	3
cami_sample_0	ganon2	order	51.9661	97.8473	66.67	33.33	44.44	2	1	4
cami_sample_0	ganon2	family	52.3973	98.6590	66.67	20.00	30.77	2	1	8
cami_sample_0	ganon2	genus	51.6026	98.6386	66.67	16.67	26.67	2	1	10
cami_sample_0	ganon2	species	52.5140	98.8787	33.33	4.76	8.33	1	2	20
cami_sample_0	hymet	superkingdom	50.0076	33.3384	2.50	100.00	4.88	1	39	0
cami_sample_0	hymet	phylum	100.0000	100.0000	0.00	0.00	0.00	0	39	3
cami_sample_0	hymet	class	100.0000	100.0000	0.00	0.00	0.00	0	39	5
cami_sample_0	hymet	order	99.9999	100.0000	0.00	0.00	0.00	0	39	6
cami_sample_0	hymet	family	100.0000	100.0000	0.00	0.00	0.00	0	39	10
cami_sample_0	hymet	genus	99.2053	100.0000	0.00	0.00	0.00	0	39	12
cami_sample_0	hymet	species	96.9180	96.9184	10.26	19.05	13.33	4	35	17
cami_sample_0	kraken2	superkingdom	53.2387	80.8102	16.67	100.00	28.57	1	5	0
cami_sample_0	kraken2	phylum	46.9647	83.3646	50.00	66.67	57.14	2	2	1
cami_sample_0	kraken2	class	47.3064	83.9872	57.14	80.00	66.67	4	3	1
cami_sample_0	kraken2	order	52.0281	92.3875	50.00	83.33	62.50	5	5	1
cami_sample_0	kraken2	family	48.5291	86.2022	47.06	80.00	59.26	8	9	2
cami_sample_0	kraken2	genus	52.0904	93.7693	26.67	66.67	38.10	8	22	4
cami_sample_0	kraken2	species	56.4254	95.9060	13.56	38.10	20.00	8	51	13
cami_sample_0	metaphlan4	superkingdom	150.0000	100.0000	0.00	0.00	0.00	0	1	1
cami_sample_0	metaphlan4	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_sample_0	metaphlan4	class	49.9999	100.0000	0.00	0.00	0.00	0	0	5
cami_sample_0	metaphlan4	order	49.9999	100.0000	0.00	0.00	0.00	0	0	6
cami_sample_0	metaphlan4	family	50.0000	100.0000	0.00	0.00	0.00	0	0	10
cami_sample_0	metaphlan4	genus	49.2052	100.0000	0.00	0.00	0.00	0	0	12
cami_sample_0	metaphlan4	species	49.9995	100.0000	0.00	0.00	0.00	0	0	21
cami_sample_0	sourmash_gather	superkingdom	0.0000	0.0000	100.00	100.00	100.00	1	0	0
cami_sample_0	sourmash_gather	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_sample_0	sourmash_gather	class	49.9999	100.0000	0.00	0.00	0.00	0	0	5
cami_sample_0	sourmash_gather	order	49.9999	100.0000	0.00	0.00	0.00	0	0	6
cami_sample_0	sourmash_gather	family	50.0000	100.0000	0.00	0.00	0.00	0	0	10
cami_sample_0	sourmash_gather	genus	49.2052	100.0000	0.00	0.00	0.00	0	0	12
cami_sample_0	sourmash_gather	species	99.4372	99.4377	100.00	4.76	9.09	1	0	20
